santa_firstnames,santa_lastnames,santa_email,santa_address
John,Smith,john.smith@test.com,"San Diego, CA"
Jill,Smith,jill.smith@test.com,"San Diego, CA"
John,Davies,john.davies@test.com,"Grand Rapids, MI"
Jane,Doe,jane.doe@test.com,"St. Louis, MO"
John,Doe,Chiwonjahn@gmail.com,"St. Louis, MO"
Emily,Lewis,emily.lewis@test.com,"Madison, WI"
Ray,Day,Ray.day@test.com,"New York, NY"
Juan,Hernandez,juan.hernandez@test.com,"Anchorage, AK"
Sally,Hernandez,sally.hernandez@test.com,"Anchorage, AK"
Joy,Park,joy.park@test.com,"Atlanta, GA"
Jim,Park,jim.park@test.com,"Atlanta, GA"
